"en","key","enAbbrev","Spanish","write-in","esAbbrev","es","✓","Portuguese","write-in","ptAbbrev","pt","✓","French","write-in","frAbbrev","fr","✓","Hebrew","write-in","heAbbrev","he","✓","Arabic","write-in","arAbbrev","ar","✓","Hindi","write-in","hiAbbrev","hi","✓","Bengali","write-in","bnAbbrev","bn","✓","Oriya","write-in","orAbbrev","or","✓","as","asAbbrev","✓","Indonesian","write-in","idAbbrev","id","✓","Russian","write-in","ruAbbrev","ru","✓","Mandarin Chinese (simplified)","write-in","zhAbbrev","zh","✓","Hausa","write-in","haAbbrev","ha","✓","Swahili","write-in","swAbbrev","sw","✓","Amharic","write-in","amAbbrev","am","✓","Thai","write-in","thAbbrev","th","✓","Malay","write-in","msAbbrev","ms","✓","Filipino","write-in","filAbbrev","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"entry word / discourse particle","e.w","e.w","palabra de entrada / partícula discurso","palabra de entrada / partícula del discurso","pal","palabra de entrada / partícula del discurso","TRUE","palavra de entrada / partícula discurso","palavra de entrada/partícula discursiva","","palavra de entrada/partícula discursiva","TRUE","entrée mot / particule discours","particule de discours","part. disc.","particule de discours","TRUE","כניסת מילה / חלקיקי שיח","","","כניסת מילה / חלקיקי שיח","FALSE","كلمة دخول / الجسيمات الخطاب","كلمات(و/أو عبارات) لها دور في إدارة مجرى الخطاب ","","كلمات(و/أو عبارات) لها دور في إدارة مجرى الخطاب ","FALSE","प्रवेश शब्द / प्रवचन कण","मूल प्रविष्टि / प्रोक्ति निपात","","मूल प्रविष्टि / प्रोक्ति निपात","TRUE","এন্ট্রি শব্দ / বক্তৃতা কণা","সূচক শব্দ / উক্তি নিপাত","সূ.শ./ উ.নি.","সূচক শব্দ / উক্তি নিপাত","TRUE","ପ୍ରବେଶପଥ ଶବ୍ଦ / discourse particle","","","ପ୍ରବେଶପଥ ଶବ୍ଦ / discourse particle","FALSE","","","FALSE","entri kata / wacana partikel","entri kata / partikel wacana","","entri kata / partikel wacana","TRUE","запись слова / дискурсе частица","вводное слово / дискурсивная частица","","вводное слово / дискурсивная частица","TRUE","条目字/话语粒子","","","条目字/话语粒子","FALSE","shigarwa kalmar / lãbãri barbashi","","","shigarwa kalmar / lãbãri barbashi","FALSE","kuingia neno / mjadala chembe","Kidahizo / kipashio cha usemi","kd / ka.us","Kidahizo / kipashio cha usemi","TRUE","የመግቢያ ቃል / ንግግር ቅንጣት","የመግቢያ ቃል ","","የመግቢያ ቃል ","TRUE","คำแปลคำ / วาทกรรม","","","คำแปลคำ / วาทกรรม","FALSE","Kemasukan perkataan / zarah wacana","partikel wacana","","partikel wacana","TRUE","Entry word / discourse particle.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"measure word","m.w","m.w","palabra de medida","término de medición","med","término de medición","TRUE","palavra medida","medir palavra","","medir palavra","TRUE","mot de mesure","mot de mesure","mes.","mot de mesure","TRUE","מילת מידה","מילת ספירה","","מילת ספירה","FALSE","كلمة قياس","كلمة للقياس","","كلمة للقياس","FALSE","शब्द नापो","मापन शब्द","","मापन शब्द","TRUE","শব্দ নির্নয়","পরিমাপক","পরিমা.","পরিমাপক","TRUE","ମାପ ଶବ୍ଦ","","","ମାପ ଶବ୍ଦ","FALSE","","","FALSE","ukuran kata","kata bantu bilangan","","kata bantu bilangan","TRUE","счетное слово","","","счетное слово","TRUE","量词","","","量词","FALSE","awo kalma","","","awo kalma","FALSE","hatua neno","Neno la kipimo","n.kp","Neno la kipimo","TRUE","መስፈሪያ ቃል","መስፈሪያ ቃል","","መስፈሪያ ቃል","TRUE","วัดคำ","","","วัดคำ","FALSE","mengukur perkataan","kata bilangan","","kata bilangan","TRUE","sukatan ng Salita","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"masdar","msd","msd","masdar","masdar","msd","masdar","TRUE","masdar","masdar","","masdar","TRUE","Masdar","masdar","mas.","masdar","TRUE","Masdar","צורת מקור (ערבית)","","צורת מקור (ערבית)","TRUE","مصدر","مصدر","","مصدر","FALSE","Masdar","मसदार","","मसदार","TRUE","মাসদার","মাসদার","মাসদা.","মাসদার","TRUE","masdar","","","masdar","FALSE","","","FALSE","masdar","masdar","","masdar","TRUE","Масдар","масдар","","масдар","TRUE","马斯达尔","","","马斯达尔","FALSE","masdar","","","masdar","FALSE","Masdar","Masdar","msd","Masdar","TRUE","masdar","አርእስት አንቀጽ","","አርእስት አንቀጽ","TRUE","Masdar","","","Masdar","FALSE","masdar.","masdar","","masdar","TRUE","Masdar.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"idafa","idf","idf","idafa","idafa","idf","idafa","TRUE","idafa","idafa","","idafa","TRUE","idafa","idafa","id.","idafa","TRUE","idafa","מוספית שייכות/בעלות (ערבית)","","מוספית שייכות/בעלות (ערבית)","TRUE","idafa","إضافة","","إضافة","FALSE","idafa","इदाफा","","इदाफा","TRUE","idafa","ঈদফা","ঈদফ.","ঈদফা","TRUE","idafa","","","idafa","FALSE","","","FALSE","idafa","idafa","","idafa","TRUE","idafa","изафет","","изафет","TRUE","idafa","","","idafa","FALSE","idafa","","","idafa","FALSE","idafa","Idafa","idf","Idafa","TRUE","idafa","ሙያ","","ሙያ","TRUE","ไอดาฟา","","","ไอดาฟา","FALSE","idafa","idafa","","idafa","TRUE","Idafa.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"verbal paradigm","v.prdg","v.prdg","verbal paradigma","paradigma verbal","pdma.verb","paradigma verbal","TRUE","verbal paradigma","paradigma verbal","","paradigma verbal","TRUE","verbal paradigme","paradigme verbal","par. v.","paradigme verbal","TRUE","מילולית הפרדיגמה","בניין פועל","","בניין פועל","FALSE","اللفظية نموذج","نموذج الأفعال","","نموذج الأفعال","FALSE","मौखिक प्रतिमान","शाब्दिक रूपावली","","शाब्दिक रूपावली","TRUE","মৌখিক দৃষ্টান্ত","ক্রিয়া দৃষ্টান্ত","ক্রি.দৃ.","ক্রিয়া দৃষ্টান্ত","TRUE","େମୗକିକ paradigm","","","େମୗକିକ paradigm","FALSE","","","FALSE","lisan paradigma","paradigma verba","","paradigma verba","TRUE","словесная парадигма","глагольная парадигма","","глагольная парадигма","TRUE","口头范式","","","口头范式","FALSE","fi'ili yayi","","","fi'ili yayi","FALSE","matusi dhana","kiolezofaridi cha kitenzi","kfd.kt","kiolezofaridi cha kitenzi","TRUE","የቃል ለሆነችው","የግሥ ሥርአት","","የግሥ ሥርአት","TRUE","กระบวนทัศน์ทางวาจา","","","กระบวนทัศน์ทางวาจา","FALSE","Paradigma Verbal.","paradigma kata kerja","","paradigma kata kerja","TRUE","pandiwang paradigm","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acronym","acr","acr","acrónimo","acrónimo","acr","acrónimo","TRUE","acrônimo","acrónimo","","acrónimo","TRUE","acronyme","acronyme","acro.","acronyme","TRUE","ראשי תיבות","","","ראשי תיבות","TRUE","اختصار","اختصار","","اختصار","FALSE","परिवर्णी शब्द","परिवर्णी शब्द","","परिवर्णी शब्द","TRUE","অন্য শব্দের আদ্যক্ষর দ্বারা গঠিত শব্দ","সংক্ষিপ্ত শব্দ","সং.শ.","সংক্ষিপ্ত শব্দ","TRUE","ଆକ୍ରୋନିମ","","","ଆକ୍ରୋନିମ","FALSE","","","FALSE","akronim","akronim","","akronim","TRUE","акроним","","","акроним","TRUE","缩写","","","缩写","FALSE","acronym","","","acronym","FALSE","kifupi","Akronimi","akr","Akronimi","TRUE","ምህጻረ","ምኅጻረ ቃል","","ምኅጻረ ቃል","TRUE","อักษรย่อ","","","อักษรย่อ","FALSE","akronim","akronim","","akronim","TRUE","acronym.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"contraction","cntr","cntr","contracción","contracción","cntr","contracción","TRUE","contração","contração","","contração","TRUE","contraction","contraction","contr.","contraction","TRUE","צִמצוּם","קיצור, השמטה, או האחדה","","קיצור, השמטה, או האחדה","FALSE","التقلص","تقليص","","تقليص","FALSE","संकुचन","संकुचन","","संकुचन","TRUE","সংকোচন","সংকোচন","সংক.","সংকোচন","TRUE","ସଂେକାଚନ","","","ସଂେକାଚନ","FALSE","","","FALSE","kontraksi","kontraksi","","kontraksi","TRUE","сокращение","стяжение","","стяжение","TRUE","收缩","","","收缩","FALSE","ƙanƙancewa","","","ƙanƙancewa","FALSE","contraction","Msinyao","ms ","Msinyao","TRUE","ማሳጠር","ማሳጠር","","ማሳጠር","TRUE","การหดตัว","","","การหดตัว","FALSE","penguncupan","singkatan","","singkatan","TRUE","contraction.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"numeral","num","num","número","numeral","num","numeral","TRUE","numeral","numeral","","numeral","TRUE","numéral","chiffre","num.","chiffre","TRUE","סִפְרָה","שמות מספרים","","שמות מספרים","TRUE","عددي","عددي","","عددي","FALSE","अंक","संख्यावाचक","","संख्यावाचक","TRUE","সংখ্যা","সংখ্যা শব্দ","স.","সংখ্যা শব্দ","TRUE","ସଂଖ୍ଯାବାଚକ","","","ସଂଖ୍ଯାବାଚକ","FALSE","","","FALSE","angka","numeralia","","numeralia","TRUE","цифра","числительное","","числительное","TRUE","数字","","","数字","FALSE","adadi","","","adadi","FALSE","numeral","Namba","na","Namba","TRUE","አኅዝ","አኅዝ","","አኅዝ","TRUE","ตัวเลข","","","ตัวเลข","FALSE","Numeral.","angka","","angka","TRUE","numeral","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"active verb","act.v","act.v","verbo activo","verbo activo","v.act","verbo activo","TRUE","verbo ativo","verbo activo","","verbo activo","TRUE","verbe actif","verbe actif","v. act. ","verbe actif","TRUE","הפועל פעיל","פועל פעיל","","פועל פעיל","TRUE","فعل نشط","فعل مبني للمعلوم","","فعل مبني للمعلوم","FALSE","सक्रिय क्रिया","कर्तृ-क्रिया","","कर्तृ-क्रिया","TRUE","সক্রিয় ক্রিয়া","সক্রিয় ক্রিয়া","সক্রি.ক্রি.","সক্রিয় ক্রিয়া","TRUE","ସକ୍ରିୟ କ୍ରିୟାପଦ","","","ସକ୍ରିୟ କ୍ରିୟାପଦ","FALSE","","","FALSE","kata kerja aktif","verba aktif","","verba aktif","TRUE","активный глагол","","","активный глагол","TRUE","主动动词","","","主动动词","FALSE","aiki fi'ili","","","aiki fi'ili","FALSE","kazi kitenzi","Kitenzi tendi","kt.tnd","Kitenzi tendi","TRUE","ንቁ ግስ","ገቢር ግሥ","","ገቢር ግሥ","TRUE","กริยาที่ใช้งาน","","","กริยาที่ใช้งาน","FALSE","kata kerja yang aktif","kata kerja aktif","","kata kerja aktif","TRUE","Aktibong pandiwa","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"stative verb","stat.v","stat.v","verbo intransitivo","verbo estativo","v.est","verbo estativo","TRUE","verbo stative","verbo estativo","","verbo estativo","TRUE","verbe d'état","verbe statif","v. stat.","verbe statif","TRUE","הפועל stative","פועל המציין מצב","","פועל המציין מצב","TRUE","الفعل خبري","فعل جامد","","فعل جامد","FALSE","स्टेटीव क्रिया","","","स्टेटीव क्रिया","FALSE","স্থাবর ক্রিয়া","স্থিতিক্রিয়া","স্থি.ক্রি.","স্থিতিক্রিয়া","TRUE","stative କ୍ରିୟାପଦ","","","stative କ୍ରିୟାପଦ","FALSE","","","FALSE","kata kerja statis","verba statis","","verba statis","TRUE","глагол","стативный глагол","","стативный глагол","TRUE","状态动词","","","状态动词","FALSE","stative fi'ili","","","stative fi'ili","FALSE","stative kitenzi","Kitenzi kitendeka","kt.knd","Kitenzi kitendeka","TRUE","stative ግስ","ተገብሮ ግሥ","","ተገብሮ ግሥ","TRUE","กริยา","","","กริยา","FALSE","kata kerja stative","kata kerja statif","","kata kerja statif","TRUE","stative verb","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"causative verb","caus.v","caus.v","verbo causativo","verbo causativo","v.caus","verbo causativo","TRUE","causador verbo","verbo causativo","","verbo causativo","TRUE","causal verbe","verbe causatif","v. caus. ","verbe causatif","TRUE","סיבתי הפועל","פועל סיבתי","","פועל סיבתי","TRUE","الفعل المسبب","فعل مسبب","","فعل مسبب","FALSE","प्रेरणा का क्रिया","प्रेरणार्थक क्रिया","","प्रेरणार्थक क्रिया","TRUE","ণিজন্ত ক্রিয়া","নিজন্ত ক্রিয়া","নি.ক্রি.","নিজন্ত ক্রিয়া","TRUE","causative କ୍ରିୟାପଦ","","","causative କ୍ରିୟାପଦ","FALSE","","","FALSE","penyebab kata kerja","verba kausatif","","verba kausatif","TRUE","Возбудитель глагол","каузативный глагол","","каузативный глагол","TRUE","使役动词","","","使役动词","FALSE","causative fi'ili","","","causative fi'ili","FALSE","sababishi kitenzi","Kitenzi sababishi","kt.sbb","Kitenzi sababishi","TRUE","ከፔል ግስ","አድራጊ /አስደራጊ  ግሥ","","አድራጊ /አስደራጊ  ግሥ","TRUE","คำกริยาสาเหตุ","","","คำกริยาสาเหตุ","FALSE","kata kerja kausatif","kata kerja kausatif","","kata kerja kausatif","TRUE","causative verb","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"verb suffix","v.suff","v.suff","sufijo verbal","sufijo verbal","suf.v","sufijo verbal","TRUE","verbo sufixo","sufixo verbal","","sufixo verbal","TRUE","suffixe verbe","suffixe verbal","suff. v. ","suffixe verbal","TRUE","פועל סיומת","סופית לפועל","","סופית לפועל","TRUE","الفعل لاحقة","لواحق الفعل الأخيرة","","لواحق الفعل الأخيرة","FALSE","क्रिया प्रत्यय","क्रिया प्रत्यय","","क्रिया प्रत्यय","TRUE","ক্রিয়া প্রত্যয়","ক্রিয়া প্রত্যয়","ক্রি.প্র.","ক্রিয়া প্রত্যয়","TRUE","କ୍ରିୟାପଦ ପରପଦ","","","କ୍ରିୟାପଦ ପରପଦ","FALSE","","","FALSE","kata kerja akhiran","sufiks verba","","sufiks verba","TRUE","глагол суффикс","глагольный суффикс","","глагольный суффикс","TRUE","动词后缀","","","动词后缀","FALSE","fi'ili kari na baya baki","","","fi'ili kari na baya baki","FALSE","kitenzi suffix","Kiambishi tamati cha kitenzi","ka.tm.kt","Kiambishi tamati cha kitenzi","TRUE","ግስ ቅጥያ","የግሥ ባዕድ መድረሻ","","የግሥ ባዕድ መድረሻ","TRUE","คำต่อท้ายกริยา","","","คำต่อท้ายกริยา","FALSE","Suffix kata kerja.","akhiran kata kerja","","akhiran kata kerja","TRUE","pandiwa suffix","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noun suffix","n.suff","n.suff","sustantivo sufijo","sufijo sustantivo","suj.s","sufijo sustantivo","TRUE","substantivo sufixo","sufixo nominal","","sufixo nominal","TRUE","nom suffixe","suffixe nominal ","suff. n.","suffixe nominal ","TRUE","עצם סיומת","סופית לשם עצם","","סופית לשם עצם","TRUE","إسم احقة","لواحق الاسم الأخيرة","","لواحق الاسم الأخيرة","FALSE","संज्ञा प्रत्यय","संज्ञा प्रत्यय","","संज्ञा प्रत्यय","TRUE","বিশেষ্য প্রত্যয়","বিশেষ্য প্রত্যয়","বি.প্র.","বিশেষ্য প্রত্যয়","TRUE","ବିଶେଷ୍ୟ ପରପଦ","","","ବିଶେଷ୍ୟ ପରପଦ","FALSE","","","FALSE","kata benda akhiran","sufiks nomina","","sufiks nomina","TRUE","существительное суффикс","суффикс существительного","","суффикс существительного","TRUE","名词后缀","","","名词后缀","FALSE","suna kari na baya baki","","","suna kari na baya baki","FALSE","nomino suffix","Kiambishi tamati cha nomino","ka.tm.nm","Kiambishi tamati cha nomino","TRUE","ስም ቅጥያ","የስም ባዕድ መድረሻ","","የስም ባዕድ መድረሻ","TRUE","คำนามคำนาม","","","คำนามคำนาม","FALSE","kata akhiran kata nama","akhiran kata nama","","akhiran kata nama","TRUE","pangngalan suffix","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noun prefix","n.pref","n.pref","sustantivo prefijo","prefijo de sustantivo","pref.s","prefijo de sustantivo","TRUE","substantivo prefixo","prefixo nominal","","prefixo nominal","TRUE","nom préfixe","préfixe nominal","préf. n. ","préfixe nominal","TRUE","עצם קידומת","תחילית לשם עצם","","תחילית לשם עצם","TRUE","إسم البادئة","لواحق الاسم الاستهلالية","","لواحق الاسم الاستهلالية","FALSE","संज्ञा उपसर्ग","संज्ञा उपसर्ग","","संज्ञा उपसर्ग","TRUE","বিশেষ্য উপসর্গ","বিশেষ্য উপসর্গ","বি.উপ.","বিশেষ্য উপসর্গ","TRUE","ବିଶେଷ୍ୟ ପୂର୍ବପଦ","","","ବିଶେଷ୍ୟ ପୂର୍ବପଦ","FALSE","","","FALSE","kata benda awalan","prefiks nomina","","prefiks nomina","TRUE","существительное префикс","префикс существительного","","префикс существительного","TRUE","名词前缀","","","名词前缀","FALSE","suna prefix","","","suna prefix","FALSE","nomino kiambishi awali","Kiambishiawali cha nomino","kaw.nm","Kiambishiawali cha nomino","TRUE","ስም ቅጥያ","የስም ባዕድ መነሻ","","የስም ባዕድ መነሻ","TRUE","คำนามคำนาม","","","คำนามคำนาม","FALSE","kata nama awalan","awalan kata nama","","awalan kata nama","TRUE","Pangngalan: Prefix","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"verb prefix","v.pref","v.pref","verbo prefijo","prefijo verbal","pref.v","prefijo verbal","TRUE","verbo prefixo","prefixo verbal","","prefixo verbal","TRUE","préfixe verbe","préfixe verbal","préf. v.","préfixe verbal","TRUE","הפועל קידומת","תחילית לפועל","","תחילית לפועל","TRUE","الفعل بادئة","لواحق الفعل الاستهلالية","","لواحق الفعل الاستهلالية","FALSE","क्रिया उपसर्ग","क्रिया उपसर्ग","","क्रिया उपसर्ग","TRUE","ক্রিয়া উপসর্গ","ক্রিয়া উপসর্গ","ক্রি.উপ.","ক্রিয়া উপসর্গ","TRUE","କ୍ରିୟାପଦ ପୂର୍ବପଦ","","","କ୍ରିୟାପଦ ପୂର୍ବପଦ","FALSE","","","FALSE","kata kerja awalan","prefiks verba","","prefiks verba","TRUE","глагол префикс","глагольный префикс","","глагольный префикс","TRUE","动词前缀","","","动词前缀","FALSE","fi'ili prefix","","","fi'ili prefix","FALSE","kitenzi kiambishi awali","Kiambishiawali cha kitenzi","kaw.kt","Kiambishiawali cha kitenzi","TRUE","ግስ ቅድመ ቅጥያ","የግሥ ባዕድ መነሻ","","የግሥ ባዕድ መነሻ","TRUE","คำนำหน้าคำกริยา","","","คำนำหน้าคำกริยา","FALSE","awalan kata kerja.","awalan kata kerja","","awalan kata kerja","TRUE","Previx Previx.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ideophone (onomatoepia / expressives)","ideo","ideo","ideófono (onomatoepia / expresivos)","ideófono (onomatopeya / expresivos)","ideo","ideófono (onomatopeya / expresivos)","TRUE","ideofone (onomatoepia / expressivos)","Ideofones (onomatopeias/expressivos)","","Ideofones (onomatopeias/expressivos)","TRUE","idéophone (onomatoepia / expressives)","idéophone (onomatopée / expressif)","idéo. ","idéophone (onomatopée / expressif)","TRUE","ideophone (onomatoepia / expressives)","אידאופון או אונומטופיאה","","אידאופון או אונומטופיאה","TRUE","ideophone (onomatoepia / expressives)","المحاكاة الصوتية","","المحاكاة الصوتية","FALSE","ideophone (onomatoepia / expressives)","भावस्वन (अनुकरणात्मक / अभिव्यंजक)","","भावस्वन (अनुकरणात्मक / अभिव्यंजक)","TRUE","ideophone (onomatoepia / expressives)","ধ্বন্যাত্মক শব্দ","ধ্বন.","ধ্বন্যাত্মক শব্দ","TRUE","ideophone (onomatoepia / expressives)","","","ideophone (onomatoepia / expressives)","FALSE","","","FALSE","ideofon (onomatoepia / ekspresif)","Ideofon (Onomatope/ekspresif)","","Ideofon (Onomatope/ekspresif)","TRUE","идеофон (onomatoepia / Артисты)","идеофон (звукоподражание / экспрессив)","","идеофон (звукоподражание / экспрессив)","TRUE","形声（onomatoepia /表述语言）","","","形声（onomatoepia /表述语言）","FALSE","ideophone (onomatoepia / expressives)","","","ideophone (onomatoepia / expressives)","FALSE","ideophone (onomatoepia / expressives)","Idiofoni (onomatopia) / vielezi hisia","idfn (onm / vlhs","Idiofoni (onomatopia) / vielezi hisia","TRUE","ideophone (onomatoepia / expressives)","ቃል አጋኖ","","ቃል አጋኖ","TRUE","อุดมการณ์ (Onomatoepia / การแสดงออก)","","","อุดมการณ์ (Onomatoepia / การแสดงออก)","FALSE","Ideophone (Onomoepia / Expressif)","ideofon (onomatopeia / ekspresif)","","ideofon (onomatopeia / ekspresif)","TRUE","iDophone (onomatoepia / expressives)","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"classifier","clf","clf","clasificador","clasificador","clf","clasificador","TRUE","classificador","classificador","","classificador","TRUE","classificateur","classificateur","class.","classificateur","TRUE","מְמַיֵן","מילת סיווג","","מילת סיווג","FALSE","مصنف","أداة التصنيف","","أداة التصنيف","FALSE","वर्गीकारक","वर्गक, वर्गीकारक","","वर्गक, वर्गीकारक","TRUE","ক্লাসিফায়ার","শ্রেণ্যায়ক","শ্রেণ.","শ্রেণ্যায়ক","TRUE","କ୍ଲାସିଫାୟର୍","","","କ୍ଲାସିଫାୟର୍","FALSE","","","FALSE","penggolong","penggolong","","penggolong","TRUE","классификатор","","","классификатор","TRUE","分类","","","分类","FALSE","classifier","","","classifier","FALSE","classifier","Kiainishi","kia","Kiainishi","TRUE","ክላሲፋየር","መመደቢያ","","መመደቢያ","TRUE","ลักษณนาม","","","ลักษณนาม","FALSE","classifier.","penjodoh bilangan","","penjodoh bilangan","TRUE","Classifier.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tense marker","tns","tns","marcador tensa","marcador de tiempo","m.tiemp","marcador de tiempo","TRUE","marcador tenso","marca de tempo","","marca de tempo","TRUE","marqueur tendu","marqueur de tension","tens.","marqueur de tension","TRUE","סמן מתוח","סמן זמן (דקדוקי)","","סמן זמן (דקדוקי)","TRUE","علامة متوترة","صيغة زمن الفعل","","صيغة زمن الفعل","FALSE","तनाव मार्कर","काल चिह्न","","काल चिह्न","TRUE","কাল মার্কার","কালবাচক চিহ্ন","কাল চি.","কালবাচক চিহ্ন","TRUE","କ୍ରିୟାର କାଳ ଚିହ୍ନଟକ","","","କ୍ରିୟାର କାଳ ଚିହ୍ନଟକ","FALSE","","","FALSE","penanda tegang","pemarkah kala","","pemarkah kala","TRUE","напряженный маркер","временной маркер","","временной маркер","TRUE","紧张的标志","","","紧张的标志","FALSE","siga alama","","","siga alama","FALSE","wasiwasi marker","Kitambulishi njeo","kinj","Kitambulishi njeo","TRUE","የተካረረ ማድረጊያ","የጊዜ አመልካች","","የጊዜ አመልካች","TRUE","ตึง","","","ตึง","FALSE","penanda tegang","penanda kala","","penanda kala","TRUE","tense marker.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
