"en","key","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","Assamese","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reptiles and amphibians","1.10","Reptiles y anfibios","Reptiles y anfibios","Reptiles y anfibios","TRUE","Répteis e anfíbios","Répteis e Anfíbios","Répteis e Anfíbios","TRUE","Reptiles et amphibies","Les reptiles et les amphibiens","Les reptiles et les amphibiens","TRUE","זוחלים ודו-חיים","","זוחלים ודו-חיים","TRUE","الزواحف والبرمائيات","الزواحف والبرمائيات","الزواحف والبرمائيات","FALSE","सरीसृप और उभयचर","","सरीसृप और उभयचर","FALSE","সরীসৃপ এবং অ্যামফিবিআনস","সরীসৃপ এবং উভচর প্রাণী","সরীসৃপ এবং উভচর প্রাণী","TRUE","ସରୀସୃପ ଏବଂ amphibians","","ସରୀସୃପ ଏବଂ amphibians","FALSE","","","FALSE","Reptil dan amfibi","Reptil dan amfibi","Reptil dan amfibi","TRUE","Рептилии и амфибии","","Рептилии и амфибии","TRUE","爬行动物和两栖动物","","爬行动物和两栖动物","FALSE","Dabbobi masu rarrafe da halittar dabba mai kafafuwa","","Dabbobi masu rarrafe da halittar dabba mai kafafuwa","FALSE","Nyoka na vyura","Wanyama watambaao na viumbe vya majini","Wanyama watambaao na viumbe vya majini","TRUE","ተሳቢ እንስሳት እና አሞሌዎች","ተሳቢ እንስሳት","ተሳቢ እንስሳት","TRUE","Reptilia dan amfibia.","Reptilia dan amfibia","Reptilia dan amfibia","TRUE","Reptilya at amphibians.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Humans, Social Relations and Organization","2","Los seres humanos, las relaciones sociales y la Organización","Humanos, Relaciones Sociales y Organización","Humanos, Relaciones Sociales y Organización","TRUE","Os seres humanos, relações sociais e Organização","Humanos, Relações Sociais e Organização","Humanos, Relações Sociais e Organização","TRUE","Les humains, les relations sociales et de l'Organisation","L'homme, les rapports sociaux et l'organisation sociale","L'homme, les rapports sociaux et l'organisation sociale","TRUE","בני אדם, יחסים חברתיים ארגון","בני אדם, יחסים חברתיים, סדר חברתי והתארגנות","בני אדם, יחסים חברתיים, סדר חברתי והתארגנות","FALSE","البشر، والعلاقات الاجتماعية ومنظمة","البشر، والعلاقات والمنظمات الاجتماعية","البشر، والعلاقات والمنظمات الاجتماعية","FALSE","मनुष्य, सामाजिक संबंधों और संगठन","","मनुष्य, सामाजिक संबंधों और संगठन","FALSE","হিউম্যানস, সামাজিক সম্পর্ক ও সংগঠন","মানুষ, সামাজিক সম্পর্ক এবং সংস্থা","মানুষ, সামাজিক সম্পর্ক এবং সংস্থা","TRUE","ମାନବ, ସାମାଜିକ Relations ଏବଂ ସଂସ୍ଥା","","ମାନବ, ସାମାଜିକ Relations ଏବଂ ସଂସ୍ଥା","FALSE","","","FALSE","Manusia, Hubungan Sosial dan Organisasi","Manusia, Hubungan Sosial dan Organisasi","Manusia, Hubungan Sosial dan Organisasi","TRUE","Люди, социальные отношения и организации","","Люди, социальные отношения и организации","TRUE","人类，社会关系和组织","","人类，社会关系和组织","FALSE","Mutane, Social Relations da kuma Organization","","Mutane, Social Relations da kuma Organization","FALSE","Binadamu, Social Relations na Shirika","Binadamu, Mahusiano ya Kijamii na Taasisi","Binadamu, Mahusiano ya Kijamii na Taasisi","TRUE","ሰዎች, ማህበራዊ ግንኙነቶች እና ድርጅት","ሰዎች, ማህበራዊ ግንኙነቶች እና ድርጅት","ሰዎች, ማህበራዊ ግንኙነቶች እና ድርጅት","TRUE","Manusia, Perhubungan Sosial dan Organisasi","Manusia, Hubungan Sosial dan Pertubuhan","Manusia, Hubungan Sosial dan Pertubuhan","TRUE","Mga tao, relasyon sa lipunan at organisasyon","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Body parts","2.1","Partes del cuerpo","Partes del cuerpo","Partes del cuerpo","TRUE","Partes do corpo","Partes do corpo","Partes do corpo","TRUE","Parties du corps","Les parties du corps","Les parties du corps","TRUE","חלקי גוף","","חלקי גוף","TRUE","أجزاء الجسم","أجزاء الجسم","أجزاء الجسم","FALSE","शरीर के अंग","","शरीर के अंग","FALSE","শরীরের অংশ","শরীরের অংশ","শরীরের অংশ","TRUE","ଶରୀର ଅଂଶ","","ଶରୀର ଅଂଶ","FALSE","","","FALSE","Bagian tubuh","Bagian tubuh","Bagian tubuh","TRUE","Части тела","","Части тела","TRUE","身体部位","","身体部位","FALSE","sassan jiki","","sassan jiki","FALSE","Sehemu za mwili","Sehemu za Mwili","Sehemu za Mwili","TRUE","የሰውነት ክፍሎች","የሰውነት ክፍሎች","የሰውነት ክፍሎች","FALSE","Bahagian badan","Anggota badan","Anggota badan","TRUE","Mga bahagi ng katawan","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Body functions","2.2","Las funciones del cuerpo","Las funciones del cuerpo","Las funciones del cuerpo","TRUE","funções do corpo","Funções do corpo","Funções do corpo","TRUE","Les fonctions corporelles","Les fonctions de l'organisme","Les fonctions de l'organisme","TRUE","פונקציות גוף","","פונקציות גוף","TRUE","وظائف الجسم","وظائف الجسم","وظائف الجسم","FALSE","शरीर के कार्यों","","शरीर के कार्यों","FALSE","দেহ ফাংশন","শারীরিক ক্রিয়া","শারীরিক ক্রিয়া","TRUE","ଶରୀର ଫଳନ","","ଶରୀର ଫଳନ","FALSE","","","FALSE","fungsi tubuh","Fungsi tubuh","Fungsi tubuh","TRUE","функции тела","","функции тела","TRUE","身体功能","","身体功能","FALSE","jikin ayyuka","","jikin ayyuka","FALSE","kazi mwili","Kazi za mwili","Kazi za mwili","TRUE","የሰውነት ተግባራት","የሰውነት ተግባራት","የሰውነት ተግባራት","TRUE","Fungsi badan","Fungsi badan","Fungsi badan","TRUE","Mga function ng katawan","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senses and perception","2.3","Sentidos y la percepción","Sentidos y percepción","Sentidos y percepción","TRUE","Sentidos e percepção","Sentidos e percepção","Sentidos e percepção","TRUE","Sens et de la perception","Les sens et la perception","Les sens et la perception","TRUE","החושים והתפיסה","חושים, תחושות ותפיסה","חושים, תחושות ותפיסה","FALSE","الحواس والإدراك","الحواس والإدراك","الحواس والإدراك","FALSE","होश और धारणा","","होश और धारणा","FALSE","অজ্ঞান ও উপলব্ধি","ইন্দ্রিয় এবং উপলব্ধি","ইন্দ্রিয় এবং উপলব্ধি","TRUE","Senses ଏବଂ ଅନୁଭବ କରିବାର ଶକ୍ତି","","Senses ଏବଂ ଅନୁଭବ କରିବାର ଶକ୍ତି","FALSE","","","FALSE","Indera dan persepsi","Indera dan persepsi","Indera dan persepsi","TRUE","Чувства и восприятие","","Чувства и восприятие","TRUE","感官和感知","","感官和感知","FALSE","Hankula da kuma fahimta","","Hankula da kuma fahimta","FALSE","Akili na mtazamo","Hisia na mtazamo","Hisia na mtazamo","TRUE","ስሜቶች እና ግንዛቤ","ስሜቶች እና ግንዛቤ","ስሜቶች እና ግንዛቤ","TRUE","Deria dan persepsi","Deria dan persepsi","Deria dan persepsi","TRUE","Pandama at pandama","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Health, well-being and sickness","2.4","La salud, el bienestar y la enfermedad","Salud, bienestar y enfermedad","Salud, bienestar y enfermedad","TRUE","Saúde, bem-estar e doença","Saúde, bem-estar e doença","Saúde, bem-estar e doença","TRUE","Santé, bien-être et la maladie","La santé, le bien-être et les maladies","La santé, le bien-être et les maladies","TRUE","בריאות, רווחה מחלה","בריאות, רווחה ומחלה/חולי","בריאות, רווחה ומחלה/חולי","FALSE","الصحة والرفاه والمرض","اصحة والعافية والمرض","اصحة والعافية والمرض","FALSE","स्वास्थ्य, खुशहाली और बीमारी","","स्वास्थ्य, खुशहाली और बीमारी","FALSE","স্বাস্থ্য, মঙ্গল এবং অসুস্থতা","স্বাস্থ্য, মঙ্গল এবং অসুস্থতা","স্বাস্থ্য, মঙ্গল এবং অসুস্থতা","TRUE","ସ୍ଵାସ୍ଥ୍ୟ, ଉତ୍ତମ କରାଯାଉଛି ଏବଂ ଅସୁସ୍ଥତା","","ସ୍ଵାସ୍ଥ୍ୟ, ଉତ୍ତମ କରାଯାଉଛି ଏବଂ ଅସୁସ୍ଥତା","FALSE","","","FALSE","Kesehatan, kesejahteraan dan penyakit","Kesehatan, kesejahteraan dan penyakit","Kesehatan, kesejahteraan dan penyakit","TRUE","Здоровье, благополучие и болезни","","Здоровье, благополучие и болезни","TRUE","健康，福祉和疾病","","健康，福祉和疾病","FALSE","Lafiya, da walwala da kuma cuta","","Lafiya, da walwala da kuma cuta","FALSE","Afya, ustawi na ugonjwa","Afya, ustawi na magonjwa","Afya, ustawi na magonjwa","TRUE","ጤና, ደህንነት እና ህመም","ጤና, ደህንነት እና ህመም","ጤና, ደህንነት እና ህመም","TRUE","Kesihatan, Kesejahteraan dan Penyakit","Kesihatan, kesejahteraan dan penyakit","Kesihatan, kesejahteraan dan penyakit","TRUE","Kalusugan, kagalingan at pagkakasakit","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Life stages and rites of passage","2.5","Etapas de la vida y ritos de paso","Etapas de la vida y ritos de iniciación","Etapas de la vida y ritos de iniciación","TRUE","fases da vida e ritos de passagem","Fases da vida e ritos de passagem","Fases da vida e ritos de passagem","TRUE","les étapes de la vie et les rites de passage","Les étapes de la vie et les rites de passage","Les étapes de la vie et les rites de passage","TRUE","שלבי חיים וטקסי חניכה","","שלבי חיים וטקסי חניכה","TRUE","مراحل الحياة وطقوس العبور","مراحل الحياة وطقوس الانتقال من مرحلة إلى أخرى","مراحل الحياة وطقوس الانتقال من مرحلة إلى أخرى","FALSE","जीवन चरणों और पारित होने के संस्कार","","जीवन चरणों और पारित होने के संस्कार","FALSE","লাইফ পর্যায়ে এবং যাযাবর আচার-অনুষ্ঠান","জীবনের পর্যায় এবং উত্তীর্ণের অনুষ্ঠান","জীবনের পর্যায় এবং উত্তীর্ণের অনুষ্ঠান","TRUE","ଜୀବନ ପର୍ଯ୍ଯାୟ ଏବଂ ଲେଖିଲେ ର rites","","ଜୀବନ ପର୍ଯ୍ଯାୟ ଏବଂ ଲେଖିଲେ ର rites","FALSE","","","FALSE","tahap kehidupan dan Ritus peralihan","Tahapan-tahapan kehidupan dan ritus peralihan","Tahapan-tahapan kehidupan dan ritus peralihan","TRUE","Этапы жизни и обряды","Этапы жизни и похоронные обряды","Этапы жизни и похоронные обряды","TRUE","人生阶段，通过仪式","","人生阶段，通过仪式","FALSE","Rayuwa saukarwa da ayyukan hajji na nassi","","Rayuwa saukarwa da ayyukan hajji na nassi","FALSE","hatua ya maisha na ibada ya kifungu","Hatua za maisha na mila","Hatua za maisha na mila","TRUE","የሕይወት ደረጃዎች እና የመከላከያ ሥርዓቶች","ሕይወት ደረጃዎች ","ሕይወት ደረጃዎች ","TRUE","Tahap kehidupan dan upacara laluan","Peringkat-peringkat kehidupan dan upacara penggenapan","Peringkat-peringkat kehidupan dan upacara penggenapan","TRUE","Mga yugto ng buhay at ritwal ng pagpasa","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kinship and relationships","2.6","Parentesco y las relaciones","Parentesco y relaciones","Parentesco y relaciones","TRUE","Parentesco e relações","Grau de parentesco e relações","Grau de parentesco e relações","TRUE","Parenté et relations","La parenté et les liens familiaux","La parenté et les liens familiaux","TRUE","השארות ויחסים","משפחה ומערכות יחסים","משפחה ומערכות יחסים","FALSE","القرابة والعلاقات","القرابة والعلاقات","القرابة والعلاقات","FALSE","रिश्तेदारी और रिश्तों","","रिश्तेदारी और रिश्तों","FALSE","আত্মীয়তা এবং সম্পর্ক","আত্মীয়তা এবং সম্পর্ক","আত্মীয়তা এবং সম্পর্ক","TRUE","Kinship ଏବଂ ସମ୍ପର୍କ","","Kinship ଏବଂ ସମ୍ପର୍କ","FALSE","","","FALSE","Kekerabatan dan hubungan","Kekerabatan dan relasi","Kekerabatan dan relasi","TRUE","Родство и отношения","Родство и свойство","Родство и свойство","TRUE","亲属和关系","","亲属和关系","FALSE","Zumunta da kuma dangantaka","","Zumunta da kuma dangantaka","FALSE","Ujamaa na mahusiano","Udugu na mahusiano ","Udugu na mahusiano ","TRUE","ቀውስ እና ግንኙነቶች","ዝምድና እና ግንኙነት","ዝምድና እና ግንኙነት","TRUE","Kekeluargaan dan hubungan","Persanakan dan perhubungan","Persanakan dan perhubungan","TRUE","Kinship at Relasyon","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Social activities and interactions","2.7","actividades e interacciones sociales","Actividades e interacciones sociales","Actividades e interacciones sociales","TRUE","atividades sociais e interações","Actividades sociais e interações","Actividades sociais e interações","TRUE","Activités sociales et interactions","Les activités et les interactions sociales","Les activités et les interactions sociales","TRUE","פעילויות ואינטראקציות חברתיות","","פעילויות ואינטראקציות חברתיות","TRUE","الأنشطة الاجتماعية والتفاعلات","الأنشطة الاجتماعية والتفاعلات","الأنشطة الاجتماعية والتفاعلات","FALSE","सामाजिक गतिविधियों और बातचीत","","सामाजिक गतिविधियों और बातचीत","FALSE","সামাজিক কার্যক্রম এবং পারস্পরিক ক্রিয়ার","সামাজিক কার্যক্রম এবং মিথস্ক্রিয়া","সামাজিক কার্যক্রম এবং মিথস্ক্রিয়া","TRUE","ସାମାଜିକ କାର୍ଯ୍ୟକଳାପ ଏବଂ ଆଦାନପ୍ରଦାନ","","ସାମାଜିକ କାର୍ଯ୍ୟକଳାପ ଏବଂ ଆଦାନପ୍ରଦାନ","FALSE","","","FALSE","kegiatan sosial dan interaksi","Kegiatan sosial dan interaksi","Kegiatan sosial dan interaksi","TRUE","Общественная деятельность и взаимодействие","","Общественная деятельность и взаимодействие","TRUE","社会活动和互动","","社会活动和互动","FALSE","Zamantakewa da kuma interactions","","Zamantakewa da kuma interactions","FALSE","Shughuli za Jamii na mwingiliano","Shughuli za kijamii na maingiliano","Shughuli za kijamii na maingiliano","TRUE","ማህበራዊ እንቅስቃሴዎች እና ግንኙነቶች","ማህበራዊ እንቅስቃሴዎች እና ግንኙነቶች","ማህበራዊ እንቅስቃሴዎች እና ግንኙነቶች","TRUE","Aktiviti dan interaksi sosial","Aktiviti dan interaksi sosial","Aktiviti dan interaksi sosial","TRUE","Mga aktibidad at pakikipag-ugnayan sa lipunan","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Government and Law","2.8","Gobierno y Derecho","Gobierno y Ley","Gobierno y Ley","TRUE","Governo e Direito","Governo e Leis","Governo e Leis","TRUE","Gouvernement et droit","Le gouvernement et le droit","Le gouvernement et le droit","TRUE","שלטון ומשפט","","שלטון ומשפט","TRUE","الحكومة والقانون","الحكومة والقانون","الحكومة والقانون","FALSE","सरकार और कानून","","सरकार और कानून","FALSE","সরকার এবং আইন","সরকার এবং আইন","সরকার এবং আইন","TRUE","ସରକାର ଏବଂ ନିୟମ","","ସରକାର ଏବଂ ନିୟମ","FALSE","","","FALSE","Pemerintah dan Hukum","Pemerintahan dan Hukum","Pemerintahan dan Hukum","TRUE","Правительство и закон","","Правительство и закон","TRUE","政府和法律","","政府和法律","FALSE","Gwamnati da kuma Law","","Gwamnati da kuma Law","FALSE","Serikali na Sheria","Serikali na sheria","Serikali na sheria","TRUE","መንግሥት እና ህግ","መንግሥት እና ህግ","መንግሥት እና ህግ","TRUE","Kerajaan dan undang-undang","Kerajaan dan Undang-undang","Kerajaan dan Undang-undang","TRUE","Pamahalaan at batas","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Language and Communication","3","Lenguaje y Comunicación","Lenguaje y comunicación","Lenguaje y comunicación","TRUE","Linguagem e Comunicação","Linguagem e Comunicação","Linguagem e Comunicação","TRUE","Langue et communication","La langue et la communication","La langue et la communication","TRUE","שפה ותקשורת","","שפה ותקשורת","TRUE","اللغة والتواصل","اللغة والتواصل","اللغة والتواصل","FALSE","भाषा और संचार","","भाषा और संचार","FALSE","ভাষা ও কমিউনিকেশন","ভাষা এবং যোগাযোগ","ভাষা এবং যোগাযোগ","TRUE","ଭାଷା ଏବଂ ଯୋଗାଯୋଗ","","ଭାଷା ଏବଂ ଯୋଗାଯୋଗ","FALSE","","","FALSE","Bahasa dan Komunikasi","Bahasa dan Komunikasi","Bahasa dan Komunikasi","TRUE","Язык и коммуникация","","Язык и коммуникация","TRUE","语言和交流","","语言和交流","FALSE","Harshe da kuma sadarwa","","Harshe da kuma sadarwa","FALSE","Lugha na Mawasiliano","Lugha na Mawasiliano","Lugha na Mawasiliano","TRUE","ቋንቋ እና ግንኙነት","","ቋንቋ እና ግንኙነት","FALSE","Bahasa dan Komunikasi","Bahasa dan Komunikasi","Bahasa dan Komunikasi","TRUE","Wika at komunikasyon","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mental actions","3.1","acciones mentales","Acciones mentales","Acciones mentales","TRUE","ações mentais","Acções Mentais","Acções Mentais","TRUE","actions mentales","Les actions mentales","Les actions mentales","TRUE","פעולות נפש","פעולות של מחשבה ונפש","פעולות של מחשבה ונפש","FALSE","الإجراءات العقلية","العمليات الذهنية","العمليات الذهنية","FALSE","मानसिक कार्यों","","मानसिक कार्यों","FALSE","মানসিক ক্রিয়া","মানসিক ক্রিয়া","মানসিক ক্রিয়া","TRUE","ମାନସିକ କ୍ରିୟାଗୁଡିକୁ","","ମାନସିକ କ୍ରିୟାଗୁଡିକୁ","FALSE","","","FALSE","tindakan Mental","Tindakan mental","Tindakan mental","TRUE","Умственные действия","","Умственные действия","TRUE","心理行为","","心理行为","FALSE","shafi tunanin mutum da ayyuka","","shafi tunanin mutum da ayyuka","FALSE","vitendo Mental","Vitendo vya akili","Vitendo vya akili","TRUE","የአእምሮ እርምጃዎች","የአእምሮ እርምጃዎች","የአእምሮ እርምጃዎች","TRUE","Tindakan mental","Tindakan mental","Tindakan mental","TRUE","Mga pagkilos ng kaisipan","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
