"en","vernacularName","vernacularAlternate","key","internalName","showKeyboard","useKeyboard","notes","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Thai","write-in","th","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovak","Slovenský","","slk","","","","","eslovaco","","eslovaco","FALSE","eslovaco","Eslovaco","Eslovaco","TRUE","slovaque","","slovaque","FALSE","סלובקי","","סלובקי","FALSE","السلوفاكية","","السلوفاكية","FALSE","स्लोवाक","","स्लोवाक","FALSE","স্লোভাক","স্লোভাক","স্লোভাক","TRUE","ସ୍ଲୋଭାକ୍","","ସ୍ଲୋଭାକ୍","FALSE","","FALSE","Orang Slovakia","Bahasa Slovakia","Bahasa Slovakia","TRUE","словацкий","","словацкий","TRUE","斯洛伐克","","斯洛伐克","FALSE","Basulake","","Basulake","FALSE","Kislovakia","Kislovakia","Kislovakia","TRUE","ስሎቫክ","","ስሎቫክ","FALSE","สโลวะเกีย","","สโลวะเกีย","FALSE","Slovak","Bahasa Slovak","Bahasa Slovak","TRUE","Slovak","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovene","Slovenski","","slv","","","","","esloveno","","esloveno","FALSE","esloveno","Esloveno","Esloveno","TRUE","slovène","","slovène","FALSE","סלובני","","סלובני","FALSE","السلوفينية","","السلوفينية","FALSE","स्लोवेनियाई","","स्लोवेनियाई","FALSE","স্লোভেনীয়","স্লোভিন ","স্লোভিন ","TRUE","Slovene","","Slovene","FALSE","","FALSE","Slovenia","Bahasa Slovenia","Bahasa Slovenia","TRUE","словенец","словенский","словенский","TRUE","斯洛文尼亚","","斯洛文尼亚","FALSE","Slovene","","Slovene","FALSE","kislovenia","Kislovenia","Kislovenia","TRUE","Slovene","","Slovene","FALSE","สโลวีเนีย","","สโลวีเนีย","FALSE","Slovene.","Bahasa Slovene","Bahasa Slovene","TRUE","Slovene.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Somali","af Soomaali","اَف صَومالي˜","so","","","","","somalí","","somalí","FALSE","somali","Somali","Somali","TRUE","somali","","somali","FALSE","הסומלי","","הסומלי","FALSE","الصومالية","","الصومالية","FALSE","सोमाली","","सोमाली","FALSE","সোমালী","সোমালি","সোমালি","TRUE","ସୋମାଲି","","ସୋମାଲି","FALSE","","FALSE","Somalia","Bahasa Somalia","Bahasa Somalia","TRUE","сомалийский","","сомалийский","TRUE","索马里","","索马里","FALSE","Somali","","Somali","FALSE","Somalia","Kisomali","Kisomali","TRUE","ሶማሌ","","ሶማሌ","FALSE","โซมาเลีย","","โซมาเลีย","FALSE","Somali.","Bahasa Somali","Bahasa Somali","TRUE","Somali.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Soninke","Sooninkanxanne","","snk","","","","","soninke","","soninke","FALSE","Soninke","soninquê","soninquê","TRUE","Soninké","","Soninké","FALSE","סונינקה","","סונינקה","FALSE","سونينكي","","سونينكي","FALSE","सोनिन्के","","सोनिन्के","FALSE","সোনিঙ্কে","সোনিনকে","সোনিনকে","TRUE","Soninke","","Soninke","FALSE","","FALSE","Soninke","Bahasa Soninke","Bahasa Soninke","TRUE","сонинке","","сонинке","TRUE","索宁克","","索宁克","FALSE","Soninke","","Soninke","FALSE","Soninke","Soninke ","Soninke ","TRUE","Soninke","","Soninke","FALSE","ซอนซิน","","ซอนซิน","FALSE","Soninke","Bahasa Soninke","Bahasa Soninke","TRUE","Soninke.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Southern Ndebele","isiNdebele","","nbl","","","","","Ndebele del sur","","Ndebele del sur","FALSE","Southern Ndebele","Ndebele do Sul","Ndebele do Sul","TRUE","sud Ndebele","","sud Ndebele","FALSE","דרום נדבלה","","דרום נדבלה","FALSE","جنوب نديبيلي","","جنوب نديبيلي","FALSE","दक्षिणी नेबेले","","दक्षिणी नेबेले","FALSE","দক্ষিন এন্দেবিলি","দক্ষিন এন্ড্যেবেলা ","দক্ষিন এন্ড্যেবেলা ","TRUE","ଦକ୍ଷିଣ ଦିଗସ୍ଥ Ndebele","","ଦକ୍ଷିଣ ଦିଗସ୍ଥ Ndebele","FALSE","","FALSE","Slowakia","Bahasa Slowakia","Bahasa Slowakia","TRUE","Южный ндебеле","южный ндебеле","южный ндебеле","TRUE","沃拉普克语","","沃拉普克语","FALSE","kudancin Ndebele","","kudancin Ndebele","FALSE","Ndebele Southern","Ndebele ya Kusini","Ndebele ya Kusini","TRUE","የደቡብ ንደቤሌኛ","","የደቡብ ንደቤሌኛ","FALSE","ภาคใต้ของ Ndebele","","ภาคใต้ของ Ndebele","FALSE","Southern Ndebele.","Bahasa Ndebele Selatan","Bahasa Ndebele Selatan","TRUE","Southern Ndebele.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Southern Sotho","seSotho","","st","","","","","sesotho meridional","","sesotho meridional","FALSE","Soto do sul","Sotho do Sul","Sotho do Sul","TRUE","Southern sotho","","Southern sotho","FALSE","ססות'ו","","ססות'ו","FALSE","السوتو الجنوبية","","السوتو الجنوبية","FALSE","सेसोथो","","सेसोथो","FALSE","দক্ষিন সোথো","দক্ষিন সোথো","দক্ষিন সোথো","TRUE","ଦକ୍ଷିଣ ଦିଗସ୍ଥ Sotho","","ଦକ୍ଷିଣ ଦିଗସ୍ଥ Sotho","FALSE","","FALSE","Southern Sotho","Bahasa  Sotho Selatan","Bahasa  Sotho Selatan","TRUE","сото южный","южный сото ","южный сото ","TRUE","南索托","","南索托","FALSE","Sesotanci","","Sesotanci","FALSE","Kisotho cha Kusini","Kisotho cha Kusini","Kisotho cha Kusini","TRUE","የደቡብ ሶቶኛ","","የደቡብ ሶቶኛ","FALSE","Sotho ตอนใต้","","Sotho ตอนใต้","FALSE","Sotho Selatan.","Bahasa Sotho Selatan","Bahasa Sotho Selatan","TRUE","Southern Sotho.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spanish","español","castellano","es","Keyboard_spanish","true","","","Español","español","español","TRUE","espanhol","Espanhol","Espanhol","TRUE","Espagnol","Espagnol","Espagnol","TRUE","ספרדית","","ספרדית","TRUE","الأسبانية","الإسبانية","الإسبانية","FALSE","स्पेनिश","","स्पेनिश","FALSE","স্পেনীয়","স্পেনীয়","স্পেনীয়","TRUE","ସ୍ପାନିସ୍","","ସ୍ପାନିସ୍","FALSE","","FALSE","Orang Spanyol","Bahasa Spanyol","Bahasa Spanyol","TRUE","испанский","","испанский","TRUE","西班牙语","","西班牙语","FALSE","Spanish","","Spanish","FALSE","spanish","Kispanyola","Kispanyola","TRUE","ስፓንኛ","","ስፓንኛ","FALSE","ภาษาสเปน","","ภาษาสเปน","FALSE","Bahasa Sepanyol","Bahasa Sepanyol","Bahasa Sepanyol","TRUE","Espanyol","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sranan Tongo","Sranan Tongo","","srn","","","","","sranan Tongo","","sranan Tongo","FALSE","Sranan Tongo","Surinamês","Surinamês","TRUE","sranan tongo","","sranan tongo","FALSE","Sranan Tongo","","Sranan Tongo","FALSE","لغة سرانان","","لغة سرانان","FALSE","स्रानान टॉन्गो","","स्रानान टॉन्गो","FALSE","স্রানান টোঙ্গো","শ্রানন টঙ্গো","শ্রানন টঙ্গো","TRUE","Sranan Tongo","","Sranan Tongo","FALSE","","FALSE","Bahasa Sranantongo","Bahasa Sranan Tongo","Bahasa Sranan Tongo","TRUE","сранан Tongo","сранан-тонго","сранан-тонго","TRUE","苏里南汤加语","","苏里南汤加语","FALSE","Sranan Tongo","","Sranan Tongo","FALSE","Sranan Tongo","Sranan Tongo","Sranan Tongo","TRUE","Sranan Tongo","","Sranan Tongo","FALSE","Sranan Tongo","","Sranan Tongo","FALSE","Sranan Tongo.","Bahasa Sranan Tongo","Bahasa Sranan Tongo","TRUE","Sranan Tongo.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sundanese","Basa sunda","","sun","","","","","sundanese","","sundanese","FALSE","Sudanês","Sudanês","Sudanês","TRUE","sundanais","","sundanais","FALSE","סודני","","סודני","FALSE","السودانية","","السودانية","FALSE","सुंडानी","","सुंडानी","FALSE","সুদানী","সুন্দানিজ","সুন্দানিজ","TRUE","ସୁଦାନୀଜ୍","","ସୁଦାନୀଜ୍","FALSE","","FALSE","Sunda","Bahasa Sunda","Bahasa Sunda","TRUE","Суданский","суданский","суданский","TRUE","巽","","巽","FALSE","Sundanese","","Sundanese","FALSE","Kisunda","Kisudani","Kisudani","TRUE","ሱዳንኛ","ሱዳንኛ","ሱዳንኛ","FALSE","ชาวซิดนาน","","ชาวซิดนาน","FALSE","Sunda.","Bahasa Sunda","Bahasa Sunda","TRUE","Sundanese.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swahili","Kiswahili","","sw","Keyboard_basic_kbdus","","","swh = kiswahili, sw is macrolanguage","swahili","swahili","swahili","TRUE","swahili","Swahili","Swahili","TRUE","swahili","Swahili","Swahili","TRUE","סוואהילית","סווהילי","סווהילי","TRUE","السواحلية","السواحلية","السواحلية","FALSE","स्वाहिली","","स्वाहिली","FALSE","সোয়াহিলি","সোয়াহিলি","সোয়াহিলি","TRUE","ସ୍ଵାହିଲି","","ସ୍ଵାହିଲି","FALSE","","FALSE","Swahili","Bahasa Swahili","Bahasa Swahili","TRUE","суахили","","суахили","TRUE","斯瓦希里","","斯瓦希里","FALSE","Swahili","","Swahili","FALSE","Kiswahili","Kiswahili","Kiswahili","TRUE","ስዋሕሊ","","ስዋሕሊ","FALSE","Swahili","","Swahili","FALSE","Swahili.","Bahasa Swahili","Bahasa Swahili","TRUE","Swahili.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swati/Swazi","siSwati","","ss","","","","","Swati / Swazilandia","","Swati / Swazilandia","FALSE","Swati / Swazi","Swati","Swati","TRUE","Swati / Swazi","","Swati / Swazi","FALSE","סוואטי / Swazi","","סוואטי / Swazi","FALSE","سواتي / سوازي","","سواتي / سوازي","FALSE","स्वाति / Swazi","","स्वाति / Swazi","FALSE","সোয়াতি / সোয়াজি","স্বাতী / সোয়াজি","স্বাতী / সোয়াজি","TRUE","Swati / Swazi","","Swati / Swazi","FALSE","","FALSE","Swati / Swazi","Bahasa Swati / Swazi","Bahasa Swati / Swazi","TRUE","Свати / свази","свази","свази","TRUE","斯瓦特/斯威士","","斯瓦特/斯威士","FALSE","Swati / Swazi","","Swati / Swazi","FALSE","Kiswati / Swazi","Kiswati/Kiswazi","Kiswati/Kiswazi","TRUE","ስዋቲኛ / ተከላክለዋል","","ስዋቲኛ / ተከላክለዋል","FALSE","Swati / Swazi","","Swati / Swazi","FALSE","SWATI / SWAZI.","Bahasa Swati/Swazi","Bahasa Swati/Swazi","TRUE","Swati / Swazi.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swedish","Svenska språk","","sv","","","","","sueco","","sueco","FALSE","sueco","Sueco","Sueco","TRUE","suédois","","suédois","FALSE","שוודית","","שוודית","FALSE","اللغة السويدية","","اللغة السويدية","FALSE","स्वीडिश","","स्वीडिश","FALSE","সুইডিশ","সুইডিশ","সুইডিশ","TRUE","ସ୍ୱେଡିସ୍","","ସ୍ୱେଡିସ୍","FALSE","","FALSE","Orang Swedia","Bahasa Swedia","Bahasa Swedia","TRUE","шведский","","шведский","TRUE","瑞典","","瑞典","FALSE","Yaren mutanen Sweden","","Yaren mutanen Sweden","FALSE","swedish","Kiswidi","Kiswidi","TRUE","ስዊድንኛ","ስዊድንኛ","ስዊድንኛ","TRUE","เกี่ยวกับสวีเดน","","เกี่ยวกับสวีเดน","FALSE","Sweden.","Bahasa Sweden","Bahasa Sweden","TRUE","Suweko","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tagalog","Wikang Tagalog","","tl","Keyboard_basic_kbdus","","","","Tagalo","tagalog","tagalog","TRUE","Tagalog","Tagalo","Tagalo","TRUE","Tagalog","Tagalog","Tagalog","TRUE","טגלוג","טאגאלוג","טאגאלוג","TRUE","التغالوغ","التاغالوغ/الفلبينية","التاغالوغ/الفلبينية","FALSE","तागालोग","","तागालोग","FALSE","তাগালোগ","টাগালোগ ","টাগালোগ ","TRUE","Tagalog","","Tagalog","FALSE","","FALSE","Tagalog","Bahasa Tagalog","Bahasa Tagalog","TRUE","тагальского","тагальский","тагальский","TRUE","他加禄语","","他加禄语","FALSE","Tagalog","","Tagalog","FALSE","Kitagalogi","Kitagalog","Kitagalog","TRUE","ታንጋሎግ","","ታንጋሎግ","FALSE","ตากาล็อก","","ตากาล็อก","FALSE","Tagalog.","Bahasa Tagalog","Bahasa Tagalog","TRUE","Tagalog","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tajik","Тоҷики","تاجيكى","tg","","","","","Tayiko","","Tayiko","FALSE","Tajik","Tajik","Tajik","TRUE","tadjik","","tadjik","FALSE","טג'יקית","","טג'יקית","FALSE","الطاجيكية","","الطاجيكية","FALSE","ताजिक","","ताजिक","FALSE","তাজিক","তাজিক","তাজিক","TRUE","ତାଜିକ୍","","ତାଜିକ୍","FALSE","","FALSE","Tajik","Bahasa Tajik","Bahasa Tajik","TRUE","таджикский","","таджикский","TRUE","塔吉克","","塔吉克","FALSE","Tajik","","Tajik","FALSE","Tajiki","Tajik","Tajik","TRUE","ታጂኪኛ","ታጂኪኛ","ታጂኪኛ","TRUE","ทาจิค","","ทาจิค","FALSE","Tajik","Bahasa Tajik","Bahasa Tajik","TRUE","Tajik.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tamazight","Tamaziɣt","","tzm","","","","","tamazight","","tamazight","FALSE","Tamazight","Amazigue","Amazigue","TRUE","tamazight","","tamazight","FALSE","טמאזיגט","","טמאזיגט","FALSE","الأمازيغية","","الأمازيغية","FALSE","तमाज़ित","","तमाज़ित","FALSE","তামাজিঘত্","তামাজি ","তামাজি ","TRUE","ତାମାଜିଘାଟ୍","","ତାମାଜିଘାଟ୍","FALSE","","FALSE","Tamazight","Bahasa Tamazight","Bahasa Tamazight","TRUE","Tamazight","тамазигхтский","тамазигхтский","TRUE","柏柏尔语","","柏柏尔语","FALSE","Tamazight","","Tamazight","FALSE","Tamazight","Tamazight","Tamazight","TRUE","Tamazight","","Tamazight","FALSE","Tamazight","","Tamazight","FALSE","Tamazight.","Bahasa Barbar","Bahasa Barbar","TRUE","Tamazight.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tamil","தமிழ்","","ta","Keyboard_tamil","true","","","Tamil","tamil","tamil","TRUE","tâmil","Tâmil","Tâmil","TRUE","Tamil","Tamil","Tamil","TRUE","טמילית","","טמילית","TRUE","التاميل","التاميلية","التاميلية","FALSE","तामिल","","तामिल","FALSE","তামিল","তামিল","তামিল","TRUE","ତାମିଲ୍","","ତାମିଲ୍","FALSE","","FALSE","Tamil","Bahasa Tamil","Bahasa Tamil","TRUE","тамильский","","тамильский","TRUE","泰米尔人","","泰米尔人","FALSE","Tamil","","Tamil","FALSE","Tamil","Kitamil","Kitamil","TRUE","ታሚል","","ታሚል","FALSE","ทมิฬ","","ทมิฬ","FALSE","Tamil.","Bahasa Tamil","Bahasa Tamil","TRUE","Tamil.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tausug","bahasa Sūg","","tsg","","","","","Tausug","","Tausug","FALSE","Tausug","Tausug","Tausug","TRUE","tausug","","tausug","FALSE","Tausug","","Tausug","FALSE","Tausug","","Tausug","FALSE","Tausug","","Tausug","FALSE","Tausug,","তাউসুগ","তাউসুগ","TRUE","Tausug","","Tausug","FALSE","","FALSE","Tausug","Bahasa Tausug","Bahasa Tausug","TRUE","Tausug","таусуг","таусуг","TRUE","Tausug","","Tausug","FALSE","Tausug","","Tausug","FALSE","Tausug","Tausug","Tausug","TRUE","Tausug","","Tausug","FALSE","tausug","","tausug","FALSE","Tausug.","Bahasa Tausug","Bahasa Tausug","TRUE","Tausug","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Telugu","తెలుగు","","te","Keyboard_telugu","true","","","telugu","telugu","telugu","TRUE","Telugu","Telugo","Telugo","TRUE","telugu","Telugu","Telugu","TRUE","טלוגו","","טלוגו","TRUE","التيلجو","التيلوغوية","التيلوغوية","FALSE","तेलुगू","","तेलुगू","FALSE","তেলুগু","তেলেগু","তেলেগু","TRUE","ତେଲୁଗୁ","","ତେଲୁଗୁ","FALSE","","FALSE","Telugu","Bahasa Telugu","Bahasa Telugu","TRUE","телугу","","телугу","TRUE","泰卢固语","","泰卢固语","FALSE","Telugu","","Telugu","FALSE","telugu","Kitelugu","Kitelugu","TRUE","ተሉጉ","","ተሉጉ","FALSE","เตลูกู","","เตลูกู","FALSE","Telugu.","Bahasa Telugu","Bahasa Telugu","TRUE","Telugu.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Temne","KʌThemnɛ","","tem","","","","","temne","","temne","FALSE","temne","Temne","Temne","TRUE","Temne","","Temne","FALSE","טמנתי","","טמנתי","FALSE","Temne","","Temne","FALSE","Temne","","Temne","FALSE","টিমেন","টেমনে","টেমনে","TRUE","Temne","","Temne","FALSE","","FALSE","Temne","Bahasa Temne","Bahasa Temne","TRUE","темне","","темне","TRUE","Temne","","Temne","FALSE","Temne","","Temne","FALSE","Kitemne","Temne","Temne","TRUE","Temne","","Temne","FALSE","เทมน์","","เทมน์","FALSE","Temne.","Bahasa Temne","Bahasa Temne","TRUE","Tember.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ternate","","","tft","","","","","Ternate","","Ternate","FALSE","Ternate","Ternate","Ternate","TRUE","Ternate","","Ternate","FALSE","טרנאטה","","טרנאטה","FALSE","تيرنيت","","تيرنيت","FALSE","तेरनाते","","तेरनाते","FALSE","Ternate,","টার্নেট","টার্নেট","TRUE","Ternate","","Ternate","FALSE","","FALSE","Ternate","Bahasa Ternate","Bahasa Ternate","TRUE","Ternate","тернате-тедоре","тернате-тедоре","TRUE","特尔纳特","","特尔纳特","FALSE","Ternate","","Ternate","FALSE","Ternate","Ternate-Tidore","Ternate-Tidore","TRUE","Ternate","","Ternate","FALSE","ternate","","ternate","FALSE","Ternate.","Bahasa Ternate","Bahasa Ternate","TRUE","Ternate","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tetum / Fehan Tetun","Lia-Tetun","","tet","","","","","Tetum / Fehan tetun","","Tetum / Fehan tetun","FALSE","Tetum / Fehan tétum","Tétum","Tétum","TRUE","Tetum / Fehan Tetun","","Tetum / Fehan Tetun","FALSE","Tetum / Fehan Tetun","","Tetum / Fehan Tetun","FALSE","التيتم / Fehan التيتون","","التيتم / Fehan التيتون","FALSE","तेतुम / Fehan Tetun","","तेतुम / Fehan Tetun","FALSE","তেতুম / Fehan Tetun","টেটুম / ফেহান টেটুম ","টেটুম / ফেহান টেটুম ","TRUE","Tetum / Fehan Tetun","","Tetum / Fehan Tetun","FALSE","","FALSE","Tetum / Fehan Tetun","Bahasa Tetum / Fehan Tetun","Bahasa Tetum / Fehan Tetun","TRUE","Тетум / Fehan тетун","тетум","тетум","TRUE","德顿语/ Fehan德顿语","","德顿语/ Fehan德顿语","FALSE","Tetum / Fehan Tetun","","Tetum / Fehan Tetun","FALSE","Kitetum / Fehan Tetun","Tetum / Fehan Tetun","Tetum / Fehan Tetun","TRUE","ቴቱም / Fehan Tetun","","ቴቱም / Fehan Tetun","FALSE","tetum / fehan tetun","","tetum / fehan tetun","FALSE","Tetum / Fehan Tetun","Bahasa Tetum","Bahasa Tetum","TRUE","Tetum / Fehan Tetun.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thai","ภาษาไทย","Phasa Thai","th","Keyboard_thai_kedmanee","true","","","tailandés","tailandia","tailandia","TRUE","tailandês","Tailandês ","Tailandês ","TRUE","thaïlandais","Thaï","Thaï","TRUE","תאילנדי","תאית","תאית","TRUE","التايلاندية","التايلندية","التايلندية","FALSE","थाई","","थाई","FALSE","থাই","থাই","থাই","TRUE","ଥାଇ","","ଥାଇ","FALSE","","FALSE","Thai","Bahasa Thai","Bahasa Thai","TRUE","тайский","","тайский","TRUE","泰国","","泰国","FALSE","Thai","","Thai","FALSE","thai","Kithai","Kithai","TRUE","ታይ","","ታይ","FALSE","ไทย","","ไทย","FALSE","Thai.","Bahasa Thai","Bahasa Thai","TRUE","Thai","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tibetan","ལྷ་སའི་སྐད་","བོད་སྐད","bo","Keyboard_basic_kbdtiprd","true","bo-Tibt-CN","","tibetano","tibetano","tibetano","TRUE","tibetano","Tibetano","Tibetano","TRUE","Tibétain","Tibétain","Tibétain","TRUE","טיבטי","טיבטית","טיבטית","TRUE","التبت","التبتية","التبتية","FALSE","तिब्बती","","तिब्बती","FALSE","তিব্বতি","তিব্বতী","তিব্বতী","TRUE","ତିବେତାନ୍","","ତିବେତାନ୍","FALSE","","FALSE","Tibet","Bahasa Tibet","Bahasa Tibet","TRUE","тибетский","","тибетский","TRUE","藏","","藏","FALSE","Tibet","","Tibet","FALSE","Kitibeti","Kitibeti","Kitibeti","TRUE","ትቤታን","","ትቤታን","FALSE","ชาวทิเบต","","ชาวทิเบต","FALSE","Tibetan","Bahasa Tibet","Bahasa Tibet","TRUE","Tibetan","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tidore","","","tvo","","","","","Tidore","","Tidore","FALSE","Tidore","Tidore","Tidore","TRUE","Tidore","","Tidore","FALSE","טידורה","","טידורה","FALSE","Tidore","","Tidore","FALSE","Tidore","","Tidore","FALSE","Tidore","টিডোর ","টিডোর ","TRUE","Tidore","","Tidore","FALSE","","FALSE","Tidore","Bahasa Tidore","Bahasa Tidore","TRUE","Tidore","туканг-беси","туканг-беси","TRUE","蒂多雷","","蒂多雷","FALSE","Tidore","","Tidore","FALSE","Tidore","Tukang Besi","Tukang Besi","TRUE","Tidore","","Tidore","FALSE","tidore","","tidore","FALSE","Tidore.","Bahasa Tidore","Bahasa Tidore","TRUE","Tidore.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
